# YHDA_VERSION=0.6.2
# TEST_SERVICE=RGDH
# PLANT_TYPE=EDUEDT
# STEP_ID=DISCHARGE_UE_MAX
# STEP_NAME=Sisteme enerji verirken — düşük ikaz maksimum
# TESIS_ADI=YHDA Örnek Depolamalı GES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=60
# AUX_SOURCE_PNOM_MW=100
# ONLINE_TOTAL_MW=160
# MAX_ACCESSIBLE_POWER_MW=90
# Q_REQUIRED_OE_MVAR=40
# Q_REQUIRED_UE_MVAR=-40
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
# TOTAL_UNIT_COUNT=2
# ONLINE_UNIT_COUNT=2
# STEP_Q_TARGET_MVAR=-40
# STEP_PSET_MW=90
ZAMAN;SIRA_NO;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar;soc_pct;stored_energy_mwh
16.8.2026 09:00:00,0s;1;153,988023;154,000000;90,013285;-0,084838;40;-0,021210;50,013285;-0,063629;65,000000;130,000000
16.8.2026 09:00:01,0s;2;154,030847;154,000000;89,978206;-0,005915;40;-0,001479;49,978206;-0,004436;64,987503;129,975006
16.8.2026 09:00:02,0s;3;154,008022;154,000000;90,069791;0,087793;40;0,021948;50,069791;0,065845;64,974981;129,949961
16.8.2026 09:00:03,0s;4;154,015457;154,000000;89,944906;0,001189;40;0,000297;49,944906;0,000892;64,962523;129,925046
16.8.2026 09:00:04,0s;5;153,995735;154,000000;90,013553;-0,003047;40;-0,000762;50,013553;-0,002286;64,949992;129,899985
16.8.2026 09:00:05,0s;6;154,035083;154,000000;89,935768;0,046491;40;0,011623;49,935768;0,034868;64,937545;129,875089
16.8.2026 09:00:06,0s;7;154,004697;154,000000;89,973544;-0,096253;40;-0,024063;49,973544;-0,072190;64,925022;129,850044
16.8.2026 09:00:07,0s;8;154,002597;154,000000;89,984763;0,182376;40;0,045594;49,984763;0,136782;64,912515;129,825030
16.8.2026 09:00:08,0s;9;154,023996;154,000000;90,066192;0,024674;40;0,006169;50,066192;0,018506;64,899926;129,799853
16.8.2026 09:00:09,0s;10;153,983020;154,000000;89,998719;0,125879;40;0,031470;49,998719;0,094409;64,887502;129,775003
16.8.2026 09:00:10,0s;11;153,986488;154,000000;89,992462;-0,117262;40;-0,029315;49,992462;-0,087946;64,875010;129,750021
16.8.2026 09:00:11,0s;12;154,020206;154,000000;90,017255;-0,085232;40;-0,021308;50,017255;-0,063924;64,862474;129,724947
16.8.2026 09:00:12,0s;13;153,981260;154,000000;90,002830;0,020988;40;0,005247;50,002830;0,015741;64,849995;129,699991
